12/01/2007 08.00,0,0.019,0.094,0,0,0,0.261,0.239,0.287
12/01/2007 09.00,0,0.053,0.03,0,0,0,0.253,0.221,0.157
12/01/2007 10.00,0,0.033,0.076,0,0,0,0.154,0.142,0.084
12/01/2007 11.00,0,0.036,0.063,0,0,0,0.12,0.065,0.086
12/01/2007 12.00,0,0.058,0.048,0,0,0,0.112,0.033,0.052
12/01/2007 13.00,0,0,0,0,0,0,0.048,0.091,0.033
12/01/2007 14.00,0,0,0,0,0,0,0.056,0.027,0.029
12/01/2007 15.00,0,0,0,0,0,0,0,0,0
12/01/2007 16.00,0,0,0,0,0,0,0,0,0
12/01/2007 17.00,0,0,0,0,0,0,0,0,0
12/01/2007 18.00,0,0,0,0,0,0,0,0,0
12/01/2007 19.00,0,0,0,0,0,0,0,0,0.06
12/01/2007 20.00,0,0,0,0,0,0,0,0,0.042
12/01/2007 21.00,0,0,0,0,0,0,0,0.011,0.092
12/01/2007 22.00,0,0,0,0.007,0.017,0,0.045,0,0.133
12/01/2007 23.00,0,0.023,0,0,0.083,0,0.041,0,0.152
13/01/2007 00.00,0,0,0,0,0.085,0.025,0.035,0.034,0.31
13/01/2007 01.00,0,0.073,0.024,0,0.052,0.008,0.128,0.256,0.289
13/01/2007 02.00,0.033,0.143,0.042,0,0.047,0,0.406,0.335,0.312
13/01/2007 03.00,0.087,0.325,0.134,0,0.072,0,0.486,0.401,0.247
13/01/2007 04.00,0.133,0.342,0.09,0,0.036,0,0.487,0.365,0.201
13/01/2007 05.00,0.198,0.171,0.146,0,0.039,0,0.272,0.296,0.132
13/01/2007 06.00,0.236,0.282,0.108,0,0,0,0.208,0.132,0.156
13/01/2007 07.00,0.208,0.199,0.091,0.083,0.028,0,0.167,0.124,0.191
13/01/2007 08.00,0.144,0.15,0.082,0.1,0.037,0,0.114,0.081,0.137
13/01/2007 09.00,0.103,0.099,0.131,0.156,0.055,0.04,0.067,0.069,0.062
13/01/2007 10.00,0.184,0.095,0.126,0.194,0.222,0.056,0.115,0.067,0.052
13/01/2007 11.00,0.15,0.094,0.066,0.297,0.161,0.064,0.093,0.038,0
13/01/2007 12.00,0.184,0.102,0.061,0.238,0.151,0.064,0.036,0.04,0
13/01/2007 13.00,0.173,0.077,0.074,0.16,0.219,0.037,0.026,0,0
13/01/2007 14.00,0.136,0.051,0.057,0.13,0.061,0.025,0,0,0
13/01/2007 15.00,0.13,0.026,0.045,0.139,0.031,0,0,0,0
13/01/2007 16.00,0.045,0.034,0.059,0.03,0,0,0,0,0
13/01/2007 17.00,0,0.023,0,0.031,0,0,0,0,0
